type,idx,sec_idx,loc,n_per_seg
recording,0,0,0.5,1
iclamp,0,0,0.5,1
AMPA,0,0,0.5,2
AMPA,0,1,0.16666666666666666,0
AMPA,0,1,0.5,1
AMPA,0,1,0.8333333333333334,0
AMPA,0,2,0.07142857142857142,0
AMPA,0,2,0.21428571428571427,1
AMPA,0,2,0.35714285714285715,1
AMPA,0,2,0.5,1
AMPA,0,2,0.6428571428571429,0
AMPA,0,2,0.7857142857142857,0
AMPA,0,2,0.9285714285714286,1
AMPA,0,3,0.1,0
AMPA,0,3,0.3,0
AMPA,0,3,0.5,1
AMPA,0,3,0.7,0
AMPA,0,3,0.9,0
AMPA,0,4,0.1,0
AMPA,0,4,0.3,1
AMPA,0,4,0.5,0
AMPA,0,4,0.7,0
AMPA,0,4,0.9,2
AMPA,0,5,0.1,0
AMPA,0,5,0.3,2
AMPA,0,5,0.5,0
AMPA,0,5,0.7,0
AMPA,0,5,0.9,3
AMPA,0,6,0.16666666666666666,0
AMPA,0,6,0.5,2
AMPA,0,6,0.8333333333333334,1
AMPA,0,7,0.1,2
AMPA,0,7,0.3,0
AMPA,0,7,0.5,0
AMPA,0,7,0.7,0
AMPA,0,7,0.9,0
AMPA,0,8,0.1,1
AMPA,0,8,0.3,0
AMPA,0,8,0.5,0
AMPA,0,8,0.7,0
AMPA,0,8,0.9,1
AMPA,0,9,0.5,1
AMPA,0,10,0.5,0
AMPA,0,11,0.16666666666666666,0
AMPA,0,11,0.5,1
AMPA,0,11,0.8333333333333334,0
AMPA,0,12,0.1,1
AMPA,0,12,0.3,0
AMPA,0,12,0.5,1
AMPA,0,12,0.7,0
AMPA,0,12,0.9,2
AMPA,0,13,0.16666666666666666,1
AMPA,0,13,0.5,1
AMPA,0,13,0.8333333333333334,0
AMPA,0,14,0.16666666666666666,0
AMPA,0,14,0.5,0
AMPA,0,14,0.8333333333333334,2
AMPA,0,15,0.1,0
AMPA,0,15,0.3,0
AMPA,0,15,0.5,0
AMPA,0,15,0.7,0
AMPA,0,15,0.9,0
AMPA,0,16,0.16666666666666666,1
AMPA,0,16,0.5,0
AMPA,0,16,0.8333333333333334,0
AMPA,0,17,0.5,0
AMPA,0,18,0.16666666666666666,1
AMPA,0,18,0.5,1
AMPA,0,18,0.8333333333333334,1
AMPA,0,19,0.16666666666666666,0
AMPA,0,19,0.5,0
AMPA,0,19,0.8333333333333334,1
AMPA,0,20,0.1,0
AMPA,0,20,0.3,2
AMPA,0,20,0.5,0
AMPA,0,20,0.7,1
AMPA,0,20,0.9,0
AMPA,0,21,0.16666666666666666,0
AMPA,0,21,0.5,1
AMPA,0,21,0.8333333333333334,1
AMPA,0,22,0.1,0
AMPA,0,22,0.3,0
AMPA,0,22,0.5,1
AMPA,0,22,0.7,0
AMPA,0,22,0.9,0
AMPA,0,23,0.16666666666666666,1
AMPA,0,23,0.5,0
AMPA,0,23,0.8333333333333334,2
AMPA,0,24,0.16666666666666666,0
AMPA,0,24,0.5,1
AMPA,0,24,0.8333333333333334,0
AMPA,0,25,0.16666666666666666,0
AMPA,0,25,0.5,0
AMPA,0,25,0.8333333333333334,0
AMPA,0,26,0.16666666666666666,0
AMPA,0,26,0.5,0
AMPA,0,26,0.8333333333333334,1
AMPA,0,27,0.05555555555555555,1
AMPA,0,27,0.16666666666666666,0
AMPA,0,27,0.2777777777777778,1
AMPA,0,27,0.3888888888888889,0
AMPA,0,27,0.5,0
AMPA,0,27,0.6111111111111112,2
AMPA,0,27,0.7222222222222222,0
AMPA,0,27,0.8333333333333334,0
AMPA,0,27,0.9444444444444444,1
AMPA,0,28,0.16666666666666666,1
AMPA,0,28,0.5,0
AMPA,0,28,0.8333333333333334,1
AMPA,0,29,0.1,0
AMPA,0,29,0.3,0
AMPA,0,29,0.5,0
AMPA,0,29,0.7,0
AMPA,0,29,0.9,1
AMPA,0,30,0.16666666666666666,3
AMPA,0,30,0.5,0
AMPA,0,30,0.8333333333333334,1
AMPA,0,31,0.1,1
AMPA,0,31,0.3,0
AMPA,0,31,0.5,0
AMPA,0,31,0.7,1
AMPA,0,31,0.9,1
AMPA,0,32,0.1,2
AMPA,0,32,0.3,1
AMPA,0,32,0.5,0
AMPA,0,32,0.7,0
AMPA,0,32,0.9,3
AMPA,0,33,0.5,0
AMPA,0,34,0.5,0
AMPA,0,35,0.1,2
AMPA,0,35,0.3,0
AMPA,0,35,0.5,1
AMPA,0,35,0.7,1
