sec_idx,loc,pop_idx
9,0.011,0
9,0.188,0
9,0.216,0
10,0.242,0
12,0.163,0
14,0.568,0
16,0.916,0
18,0.69,0
20,0.387,0
22,0.161,0
22,0.292,0
22,0.431,0
24,0.535,0
24,0.825,0
25,0.529,0
25,0.553,0
25,0.653,0
25,0.69,0
26,0.435,0
27,0.149,0
27,0.196,0
28,0.217,0
29,0.296,0
30,0.017,0
31,0.668,0
31,0.986,0
33,0.1,0
33,0.157,0
33,0.837,0
34,0.454,0
35,0.153,0
35,0.352,0
35,0.542,0
35,0.814,0
37,0.053,0
37,0.981,0
40,0.367,0
40,0.725,0
41,0.99,0
43,0.183,0
45,0.204,0
45,0.771,0
45,0.93,0
46,0.863,0
46,0.98,0
48,0.838,0
49,0.419,0
51,0.028,0
51,0.609,0
51,0.771,0
