type,idx,sec_idx,loc
rec,0,0,0.5
AMPA_NMDA,0,151,0.187
AMPA_NMDA,0,101,0.85
AMPA_NMDA,0,158,0.281
AMPA_NMDA,0,101,0.07
AMPA_NMDA,0,151,0.322
AMPA_NMDA,0,151,0.228
AMPA_NMDA,0,149,0.86
AMPA_NMDA,0,101,0.541
AMPA_NMDA,0,158,0.868
AMPA_NMDA,0,158,0.734
AMPA_NMDA,0,158,0.618
AMPA_NMDA,0,137,0.361
AMPA_NMDA,0,101,0.577
AMPA_NMDA,0,158,0.445
AMPA_NMDA,0,158,0.346
AMPA_NMDA,0,151,0.918
AMPA_NMDA,0,137,0.981
AMPA_NMDA,0,137,0.644
AMPA_NMDA,0,137,0.505
AMPA_NMDA,0,101,0.945
AMPA_NMDA,0,149,0.162
AMPA_NMDA,0,151,0.081
AMPA_NMDA,0,158,0.981
AMPA_NMDA,0,101,0.926
AMPA_NMDA,0,101,0.528
AMPA_NMDA,0,149,0.736
AMPA_NMDA,0,158,0.497
AMPA_NMDA,0,149,0.64
AMPA_NMDA,0,101,0.579
AMPA_NMDA,0,149,0.895
AMPA_NMDA,0,158,0.288
AMPA_NMDA,0,158,0.4
AMPA_NMDA,0,101,0.346
AMPA_NMDA,0,151,0.194
AMPA_NMDA,0,158,0.433
AMPA_NMDA,0,101,0.372
AMPA_NMDA,0,101,0.859
AMPA_NMDA,0,137,0.262
AMPA_NMDA,0,101,0.513
AMPA_NMDA,0,149,0.872
