type,idx,sec_idx,loc
rec,0,0,0.5
AMPA_NMDA,0,164,0.632
AMPA_NMDA,0,95,0.73
AMPA_NMDA,0,102,0.604
AMPA_NMDA,0,172,0.646
AMPA_NMDA,0,145,0.309
AMPA_NMDA,0,89,0.978
AMPA_NMDA,0,127,0.211
AMPA_NMDA,0,117,0.82
AMPA_NMDA,0,121,0.012
AMPA_NMDA,0,117,0.274
AMPA_NMDA,0,139,0.173
AMPA_NMDA,0,149,0.234
AMPA_NMDA,0,108,0.931
AMPA_NMDA,0,114,0.097
AMPA_NMDA,0,124,0.278
AMPA_NMDA,0,171,0.19
AMPA_NMDA,0,92,0.889
AMPA_NMDA,0,143,0.425
AMPA_NMDA,0,103,0.887
AMPA_NMDA,0,176,0.878
AMPA_NMDA,0,175,0.603
AMPA_NMDA,0,88,0.306
AMPA_NMDA,0,142,0.344
AMPA_NMDA,0,100,0.512
AMPA_NMDA,0,176,0.477
AMPA_NMDA,0,137,0.915
AMPA_NMDA,0,114,0.36
AMPA_NMDA,0,163,0.287
AMPA_NMDA,0,132,0.8
AMPA_NMDA,0,106,0.13
AMPA_NMDA,0,119,0.56
AMPA_NMDA,0,148,0.613
AMPA_NMDA,0,154,0.83
AMPA_NMDA,0,91,0.254
AMPA_NMDA,0,164,0.427
AMPA_NMDA,0,92,0.061
AMPA_NMDA,0,95,0.114
AMPA_NMDA,0,99,0.884
AMPA_NMDA,0,109,0.206
AMPA_NMDA,0,171,0.383
